iter	Passed	Remaining
0	22	11112
1	45	11389
2	67	11226
3	90	11207
4	113	11210
5	136	11257
6	160	11275
7	182	11214
8	204	11183
9	228	11218
10	251	11189
11	274	11163
12	297	11153
13	321	11157
14	345	11184
15	369	11189
16	393	11184
17	416	11141
18	440	11160
19	463	11121
20	484	11061
21	508	11040
22	530	11008
23	553	10970
24	576	10954
25	599	10931
26	621	10893
27	644	10857
28	666	10821
29	689	10809
30	712	10785
31	734	10747
32	758	10735
33	780	10702
34	802	10663
35	825	10645
36	848	10621
37	871	10591
38	893	10562
39	916	10544
40	939	10513
41	960	10474
42	983	10452
43	1006	10426
44	1028	10397
45	1051	10373
46	1073	10349
47	1095	10318
48	1118	10294
49	1142	10281
50	1166	10269
51	1190	10259
52	1214	10245
53	1238	10228
54	1263	10221
55	1286	10196
56	1308	10166
57	1330	10140
58	1352	10111
59	1376	10090
60	1398	10066
61	1422	10047
62	1445	10026
63	1467	10000
64	1490	9976
65	1512	9948
66	1534	9918
67	1557	9895
68	1581	9877
69	1604	9856
70	1627	9834
71	1650	9812
72	1674	9796
73	1697	9771
74	1720	9747
75	1744	9732
76	1767	9710
77	1789	9683
78	1813	9666
79	1837	9645
80	1860	9623
81	1883	9599
82	1905	9573
83	1928	9549
84	1951	9525
85	1975	9507
86	1998	9487
87	2022	9469
88	2046	9451
89	2070	9430
90	2094	9414
91	2118	9393
92	2182	9552
93	2207	9532
94	2230	9508
95	2253	9484
96	2277	9461
97	2299	9433
98	2322	9406
99	2346	9384
100	2369	9359
101	2392	9333
102	2416	9312
103	2446	9314
104	2491	9371
105	2514	9346
106	2537	9320
107	2561	9296
108	2583	9268
109	2606	9240
110	2629	9215
111	2652	9188
112	2675	9161
113	2697	9135
114	2720	9107
115	2742	9079
116	2766	9055
117	2789	9030
118	2812	9004
119	2835	8980
120	2859	8955
121	2882	8929
122	2905	8904
123	2928	8878
124	2950	8850
125	2973	8826
126	2996	8799
127	3018	8773
128	3041	8748
129	3064	8722
130	3087	8695
131	3109	8669
132	3132	8644
133	3155	8619
134	3178	8592
135	3201	8567
136	3223	8542
137	3246	8515
138	3268	8489
139	3291	8463
140	3314	8439
141	3336	8412
142	3360	8388
143	3382	8363
144	3405	8336
145	3428	8314
146	3452	8289
147	3475	8265
148	3498	8241
149	3521	8215
150	3543	8189
151	3566	8165
152	3590	8142
153	3612	8117
154	3636	8093
155	3658	8068
156	3681	8041
157	3704	8017
158	3726	7992
159	3750	7968
160	3772	7943
161	3795	7918
162	3817	7893
163	3841	7869
164	3864	7846
165	3887	7821
166	3910	7798
167	3934	7774
168	3957	7751
169	3982	7730
170	4006	7708
171	4031	7688
172	4054	7663
173	4077	7639
174	4100	7614
175	4122	7589
176	4146	7566
177	4169	7542
178	4192	7518
179	4215	7494
180	4238	7470
181	4261	7445
182	4285	7422
183	4308	7398
184	4331	7374
185	4354	7350
186	4377	7326
187	4399	7301
188	4424	7281
189	4447	7257
190	4470	7232
191	4493	7208
192	4515	7183
193	4539	7160
194	4562	7136
195	4585	7112
196	4608	7088
197	4631	7064
198	4654	7040
199	4677	7016
200	4700	6991
201	4722	6966
202	4745	6942
203	4767	6917
204	4792	6896
205	4831	6894
206	4924	6970
207	4962	6967
208	4986	6943
209	5012	6922
210	5038	6900
211	5063	6878
212	5089	6857
213	5114	6835
214	5139	6812
215	5162	6788
216	5185	6762
217	5208	6738
218	5231	6713
219	5255	6688
220	5279	6664
221	5302	6639
222	5325	6615
223	5349	6591
224	5372	6566
225	5395	6541
226	5421	6519
227	5445	6496
228	5469	6472
229	5492	6447
230	5514	6421
231	5538	6397
232	5561	6373
233	5584	6347
234	5607	6323
235	5631	6299
236	5655	6275
237	5678	6251
238	5702	6227
239	5725	6202
240	5748	6178
241	5771	6153
242	5795	6129
243	5818	6104
244	5842	6081
245	5865	6056
246	5888	6031
247	5911	6007
248	5933	5981
249	5957	5957
250	5980	5932
251	6003	5908
252	6026	5883
253	6050	5859
254	6073	5835
255	6096	5810
256	6119	5786
257	6142	5761
258	6166	5737
259	6189	5712
260	6211	5687
261	6235	5664
262	6257	5639
263	6281	5615
264	6305	5591
265	6328	5567
266	6351	5542
267	6375	5518
268	6397	5494
269	6420	5469
270	6444	5445
271	6467	5421
272	6491	5397
273	6515	5374
274	6541	5351
275	6564	5327
276	6588	5303
277	6612	5280
278	6637	5257
279	6659	5232
280	6683	5208
281	6706	5184
282	6771	5192
283	6797	5170
284	6820	5145
285	6843	5120
286	6867	5096
287	6890	5072
288	6913	5047
289	6936	5022
290	6959	4998
291	6983	4974
292	7007	4950
293	7032	4927
294	7057	4904
295	7081	4880
296	7106	4857
297	7130	4833
298	7154	4809
299	7178	4785
300	7201	4761
301	7224	4736
302	7246	4711
303	7270	4687
304	7294	4663
305	7317	4639
306	7340	4614
307	7363	4590
308	7387	4566
309	7411	4542
310	7433	4517
311	7457	4493
312	7479	4468
313	7502	4444
314	7524	4419
315	7548	4395
316	7571	4371
317	7595	4346
318	7618	4322
319	7640	4297
320	7664	4273
321	7687	4249
322	7710	4225
323	7734	4201
324	7756	4176
325	7779	4152
326	7803	4128
327	7826	4104
328	7848	4079
329	7871	4055
330	7893	4030
331	7917	4006
332	7940	3982
333	7963	3957
334	7986	3933
335	8009	3909
336	8032	3885
337	8056	3861
338	8082	3838
339	8106	3814
340	8129	3790
341	8152	3766
342	8175	3742
343	8198	3717
344	8221	3693
345	8244	3669
346	8267	3645
347	8290	3621
348	8313	3597
349	8337	3573
350	8361	3549
351	8384	3525
352	8407	3501
353	8430	3476
354	8453	3452
355	8476	3428
356	8500	3405
357	8523	3380
358	8547	3357
359	8570	3333
360	8594	3309
361	8618	3285
362	8640	3261
363	8663	3237
364	8686	3212
365	8710	3188
366	8733	3165
367	8756	3140
368	8779	3116
369	8803	3093
370	8825	3068
371	8849	3044
372	8872	3020
373	8894	2996
374	8918	2972
375	8941	2948
376	8964	2924
377	8987	2900
378	9011	2876
379	9034	2852
380	9057	2829
381	9081	2805
382	9104	2781
383	9127	2757
384	9150	2733
385	9173	2709
386	9196	2685
387	9220	2661
388	9243	2637
389	9266	2613
390	9289	2589
391	9312	2565
392	9336	2542
393	9361	2518
394	9387	2495
395	9411	2471
396	9434	2447
397	9457	2423
398	9479	2399
399	9503	2375
400	9526	2351
401	9549	2328
402	9573	2304
403	9596	2280
404	9618	2256
405	9642	2232
406	9664	2208
407	9687	2184
408	9710	2160
409	9733	2136
410	9756	2112
411	9778	2088
412	9802	2064
413	9824	2040
414	9847	2016
415	9871	1993
416	9894	1969
417	9918	1945
418	9942	1922
419	9965	1898
420	9988	1874
421	10011	1850
422	10034	1826
423	10058	1802
424	10080	1778
425	10105	1755
426	10128	1731
427	10152	1707
428	10175	1684
429	10198	1660
430	10221	1636
431	10244	1612
432	10267	1588
433	10290	1564
434	10314	1541
435	10337	1517
436	10360	1493
437	10383	1469
438	10407	1446
439	10430	1422
440	10453	1398
441	10475	1374
442	10500	1351
443	10523	1327
444	10546	1303
445	10569	1279
446	10592	1255
447	10616	1232
448	10640	1208
449	10665	1185
450	10688	1161
451	10713	1137
452	10735	1113
453	10759	1090
454	10782	1066
455	10805	1042
456	10829	1018
457	10852	995
458	10875	971
459	10900	947
460	10923	924
461	10948	900
462	10972	876
463	10996	853
464	11019	829
465	11043	805
466	11066	782
467	11090	758
468	11113	734
469	11137	710
470	11160	687
471	11226	665
472	11252	642
473	11276	618
474	11300	594
475	11323	570
476	11346	547
477	11370	523
478	11394	499
479	11418	475
480	11441	451
481	11465	428
482	11488	404
483	11512	380
484	11537	356
485	11560	333
486	11583	309
487	11606	285
488	11630	261
489	11653	237
490	11678	214
491	11701	190
492	11725	166
493	11749	142
494	11774	118
495	11798	95
496	11822	71
497	11846	47
498	11870	23
499	11893	0
